COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE
Tulare,2017–2018,Child vs. adult,0–17 years,
Tuolumne,2017–2018,Child vs. adult,0–17 years,
Ventura,2017–2018,Child vs. adult,0–17 years,
Yolo,2017–2018,Child vs. adult,0–17 years,
Yuba,2017–2018,Child vs. adult,0–17 years,
California,2017–2018,Child vs. adult,18+ years,0.090679
Alameda,2017–2018,Child vs. adult,18+ years,0.08558500000000001
Alpine,2017–2018,Child vs. adult,18+ years,0.175692
Amador,2017–2018,Child vs. adult,18+ years,0.175692
Butte,2017–2018,Child vs. adult,18+ years,0.12929000000000002
Calaveras,2017–2018,Child vs. adult,18+ years,0.175692
Colusa,2017–2018,Child vs. adult,18+ years,0.148277
Contra Costa,2017–2018,Child vs. adult,18+ years,0.134571
Del Norte,2017–2018,Child vs. adult,18+ years,0.138676
El Dorado,2017–2018,Child vs. adult,18+ years,0.090343
Fresno,2017–2018,Child vs. adult,18+ years,0.130974
Glenn,2017–2018,Child vs. adult,18+ years,0.148277
Humboldt,2017–2018,Child vs. adult,18+ years,0.09506
Imperial,2017–2018,Child vs. adult,18+ years,0.129209
Inyo,2017–2018,Child vs. adult,18+ years,0.175692
Kern,2017–2018,Child vs. adult,18+ years,0.103678
Kings,2017–2018,Child vs. adult,18+ years,0.085957
Lake,2017–2018,Child vs. adult,18+ years,0.11188700000000001
Lassen,2017–2018,Child vs. adult,18+ years,0.138676
Los Angeles,2017–2018,Child vs. adult,18+ years,0.080857
Madera,2017–2018,Child vs. adult,18+ years,0.128052
Marin,2017–2018,Child vs. adult,18+ years,0.08287800000000001
Mariposa,2017–2018,Child vs. adult,18+ years,0.175692
Mendocino,2017–2018,Child vs. adult,18+ years,0.064958
Merced,2017–2018,Child vs. adult,18+ years,0.106312
Modoc,2017–2018,Child vs. adult,18+ years,0.138676
Mono,2017–2018,Child vs. adult,18+ years,0.175692
Monterey,2017–2018,Child vs. adult,18+ years,0.07075000000000001
Napa,2017–2018,Child vs. adult,18+ years,0.16136
Nevada,2017–2018,Child vs. adult,18+ years,0.109242
Orange,2017–2018,Child vs. adult,18+ years,0.058403000000000004
Placer,2017–2018,Child vs. adult,18+ years,0.069475
Plumas,2017–2018,Child vs. adult,18+ years,0.138676
Riverside,2017–2018,Child vs. adult,18+ years,0.08542999999999999
Sacramento,2017–2018,Child vs. adult,18+ years,0.13095299999999999
San Benito,2017–2018,Child vs. adult,18+ years,
San Bernardino,2017–2018,Child vs. adult,18+ years,0.089971
San Diego,2017–2018,Child vs. adult,18+ years,0.09121
San Francisco,2017–2018,Child vs. adult,18+ years,0.07659200000000001
San Joaquin,2017–2018,Child vs. adult,18+ years,0.12271900000000001
San Luis Obispo,2017–2018,Child vs. adult,18+ years,0.064168
San Mateo,2017–2018,Child vs. adult,18+ years,0.08060600000000001
Santa Barbara,2017–2018,Child vs. adult,18+ years,
Santa Clara,2017–2018,Child vs. adult,18+ years,0.086459
Santa Cruz,2017–2018,Child vs. adult,18+ years,0.110288
Shasta,2017–2018,Child vs. adult,18+ years,0.075027
Sierra,2017–2018,Child vs. adult,18+ years,0.138676
Siskiyou,2017–2018,Child vs. adult,18+ years,0.138676
Solano,2017–2018,Child vs. adult,18+ years,0.12355000000000001
Sonoma,2017–2018,Child vs. adult,18+ years,0.12403
Stanislaus,2017–2018,Child vs. adult,18+ years,0.106846
Sutter,2017–2018,Child vs. adult,18+ years,0.196752
Tehama,2017–2018,Child vs. adult,18+ years,0.148277
Trinity,2017–2018,Child vs. adult,18+ years,0.138676
Tulare,2017–2018,Child vs. adult,18+ years,0.07953400000000001
Tuolumne,2017–2018,Child vs. adult,18+ years,0.175692
Ventura,2017–2018,Child vs. adult,18+ years,0.058988
Yolo,2017–2018,Child vs. adult,18+ years,0.143217
Yuba,2017–2018,Child vs. adult,18+ years,0.159095
California,2017–2018,Age groups,0–4 years,0.040713
Alameda,2017–2018,Age groups,0–4 years,
Alpine,2017–2018,Age groups,0–4 years,
Amador,2017–2018,Age groups,0–4 years,
Butte,2017–2018,Age groups,0–4 years,
Calaveras,2017–2018,Age groups,0–4 years,
Colusa,2017–2018,Age groups,0–4 years,
Contra Costa,2017–2018,Age groups,0–4 years,
Del Norte,2017–2018,Age groups,0–4 years,
El Dorado,2017–2018,Age groups,0–4 years,
Fresno,2017–2018,Age groups,0–4 years,
Glenn,2017–2018,Age groups,0–4 years,
Humboldt,2017–2018,Age groups,0–4 years,
Imperial,2017–2018,Age groups,0–4 years,
Inyo,2017–2018,Age groups,0–4 years,
Kern,2017–2018,Age groups,0–4 years,
Kings,2017–2018,Age groups,0–4 years,
Lake,2017–2018,Age groups,0–4 years,
Lassen,2017–2018,Age groups,0–4 years,
Los Angeles,2017–2018,Age groups,0–4 years,0.050491
Madera,2017–2018,Age groups,0–4 years,
Marin,2017–2018,Age groups,0–4 years,
Mariposa,2017–2018,Age groups,0–4 years,
Mendocino,2017–2018,Age groups,0–4 years,
Merced,2017–2018,Age groups,0–4 years,
Modoc,2017–2018,Age groups,0–4 years,
Mono,2017–2018,Age groups,0–4 years,
Monterey,2017–2018,Age groups,0–4 years,
Napa,2017–2018,Age groups,0–4 years,
Nevada,2017–2018,Age groups,0–4 years,
Orange,2017–2018,Age groups,0–4 years,
Placer,2017–2018,Age groups,0–4 years,
Plumas,2017–2018,Age groups,0–4 years,
Riverside,2017–2018,Age groups,0–4 years,
Sacramento,2017–2018,Age groups,0–4 years,
San Benito,2017–2018,Age groups,0–4 years,
San Bernardino,2017–2018,Age groups,0–4 years,
San Diego,2017–2018,Age groups,0–4 years,
San Francisco,2017–2018,Age groups,0–4 years,
San Joaquin,2017–2018,Age groups,0–4 years,
San Luis Obispo,2017–2018,Age groups,0–4 years,
San Mateo,2017–2018,Age groups,0–4 years,
Santa Barbara,2017–2018,Age groups,0–4 years,
Santa Clara,2017–2018,Age groups,0–4 years,
Santa Cruz,2017–2018,Age groups,0–4 years,
Shasta,2017–2018,Age groups,0–4 years,
Sierra,2017–2018,Age groups,0–4 years,
Siskiyou,2017–2018,Age groups,0–4 years,
Solano,2017–2018,Age groups,0–4 years,
Sonoma,2017–2018,Age groups,0–4 years,
Stanislaus,2017–2018,Age groups,0–4 years,
Sutter,2017–2018,Age groups,0–4 years,
Tehama,2017–2018,Age groups,0–4 years,
Trinity,2017–2018,Age groups,0–4 years,
Tulare,2017–2018,Age groups,0–4 years,
Tuolumne,2017–2018,Age groups,0–4 years,
Ventura,2017–2018,Age groups,0–4 years,
Yolo,2017–2018,Age groups,0–4 years,
Yuba,2017–2018,Age groups,0–4 years,
California,2017–2018,Age groups,5–17 years,0.094957
Alameda,2017–2018,Age groups,5–17 years,
Alpine,2017–2018,Age groups,5–17 years,
Amador,2017–2018,Age groups,5–17 years,
Butte,2017–2018,Age groups,5–17 years,
Calaveras,2017–2018,Age groups,5–17 years,
Colusa,2017–2018,Age groups,5–17 years,
Contra Costa,2017–2018,Age groups,5–17 years,
Del Norte,2017–2018,Age groups,5–17 years,
El Dorado,2017–2018,Age groups,5–17 years,
Fresno,2017–2018,Age groups,5–17 years,
Glenn,2017–2018,Age groups,5–17 years,
Humboldt,2017–2018,Age groups,5–17 years,
Imperial,2017–2018,Age groups,5–17 years,
Inyo,2017–2018,Age groups,5–17 years,
Kern,2017–2018,Age groups,5–17 years,
Kings,2017–2018,Age groups,5–17 years,
Lake,2017–2018,Age groups,5–17 years,
Lassen,2017–2018,Age groups,5–17 years,
Los Angeles,2017–2018,Age groups,5–17 years,0.08253
Madera,2017–2018,Age groups,5–17 years,
Marin,2017–2018,Age groups,5–17 years,
Mariposa,2017–2018,Age groups,5–17 years,
Mendocino,2017–2018,Age groups,5–17 years,
Merced,2017–2018,Age groups,5–17 years,
Modoc,2017–2018,Age groups,5–17 years,
Mono,2017–2018,Age groups,5–17 years,
Monterey,2017–2018,Age groups,5–17 years,
Napa,2017–2018,Age groups,5–17 years,
Nevada,2017–2018,Age groups,5–17 years,
Orange,2017–2018,Age groups,5–17 years,
Placer,2017–2018,Age groups,5–17 years,
Plumas,2017–2018,Age groups,5–17 years,
Riverside,2017–2018,Age groups,5–17 years,0.129609
Sacramento,2017–2018,Age groups,5–17 years,
San Benito,2017–2018,Age groups,5–17 years,
San Bernardino,2017–2018,Age groups,5–17 years,0.144942
San Diego,2017–2018,Age groups,5–17 years,0.08223000000000001
San Francisco,2017–2018,Age groups,5–17 years,
San Joaquin,2017–2018,Age groups,5–17 years,
San Luis Obispo,2017–2018,Age groups,5–17 years,
San Mateo,2017–2018,Age groups,5–17 years,
Santa Barbara,2017–2018,Age groups,5–17 years,
Santa Clara,2017–2018,Age groups,5–17 years,0.165028
Santa Cruz,2017–2018,Age groups,5–17 years,
Shasta,2017–2018,Age groups,5–17 years,
Sierra,2017–2018,Age groups,5–17 years,
Siskiyou,2017–2018,Age groups,5–17 years,
Solano,2017–2018,Age groups,5–17 years,
Sonoma,2017–2018,Age groups,5–17 years,
Stanislaus,2017–2018,Age groups,5–17 years,
Sutter,2017–2018,Age groups,5–17 years,
Tehama,2017–2018,Age groups,5–17 years,
Trinity,2017–2018,Age groups,5–17 years,
Tulare,2017–2018,Age groups,5–17 years,
Tuolumne,2017–2018,Age groups,5–17 years,
Ventura,2017–2018,Age groups,5–17 years,
Yolo,2017–2018,Age groups,5–17 years,
Yuba,2017–2018,Age groups,5–17 years,
California,2017–2018,Age groups,18–64 years,0.089786
Alameda,2017–2018,Age groups,18–64 years,0.08262499999999999
Alpine,2017–2018,Age groups,18–64 years,0.18960100000000002
Amador,2017–2018,Age groups,18–64 years,0.18960100000000002
Butte,2017–2018,Age groups,18–64 years,0.135303
Calaveras,2017–2018,Age groups,18–64 years,0.18960100000000002
Colusa,2017–2018,Age groups,18–64 years,0.157894
Contra Costa,2017–2018,Age groups,18–64 years,0.142396
Del Norte,2017–2018,Age groups,18–64 years,0.158796
El Dorado,2017–2018,Age groups,18–64 years,0.094207
Fresno,2017–2018,Age groups,18–64 years,0.13161799999999999
Glenn,2017–2018,Age groups,18–64 years,0.157894
Humboldt,2017–2018,Age groups,18–64 years,0.092067
Imperial,2017–2018,Age groups,18–64 years,0.111121
Inyo,2017–2018,Age groups,18–64 years,0.18960100000000002
Kern,2017–2018,Age groups,18–64 years,0.102171
Kings,2017–2018,Age groups,18–64 years,0.089062
Lake,2017–2018,Age groups,18–64 years,0.098026
Lassen,2017–2018,Age groups,18–64 years,0.158796
Los Angeles,2017–2018,Age groups,18–64 years,0.079415
Madera,2017–2018,Age groups,18–64 years,0.13523300000000002
Marin,2017–2018,Age groups,18–64 years,0.07722699999999999
Mariposa,2017–2018,Age groups,18–64 years,0.18960100000000002
Mendocino,2017–2018,Age groups,18–64 years,
Merced,2017–2018,Age groups,18–64 years,0.083993
Modoc,2017–2018,Age groups,18–64 years,0.158796
Mono,2017–2018,Age groups,18–64 years,0.18960100000000002
Monterey,2017–2018,Age groups,18–64 years,0.071434
Napa,2017–2018,Age groups,18–64 years,0.16444199999999998
Nevada,2017–2018,Age groups,18–64 years,0.140481
Orange,2017–2018,Age groups,18–64 years,0.057949
Placer,2017–2018,Age groups,18–64 years,0.06837
Plumas,2017–2018,Age groups,18–64 years,0.158796
Riverside,2017–2018,Age groups,18–64 years,0.083215
Sacramento,2017–2018,Age groups,18–64 years,0.130796
San Benito,2017–2018,Age groups,18–64 years,
San Bernardino,2017–2018,Age groups,18–64 years,0.088179
San Diego,2017–2018,Age groups,18–64 years,0.095748
San Francisco,2017–2018,Age groups,18–64 years,0.072895
San Joaquin,2017–2018,Age groups,18–64 years,0.126408
San Luis Obispo,2017–2018,Age groups,18–64 years,0.055063
San Mateo,2017–2018,Age groups,18–64 years,0.07545
Santa Barbara,2017–2018,Age groups,18–64 years,
Santa Clara,2017–2018,Age groups,18–64 years,0.08579700000000001
Santa Cruz,2017–2018,Age groups,18–64 years,0.110518
Shasta,2017–2018,Age groups,18–64 years,0.078518
Sierra,2017–2018,Age groups,18–64 years,0.158796
Siskiyou,2017–2018,Age groups,18–64 years,0.158796
Solano,2017–2018,Age groups,18–64 years,0.125657
Sonoma,2017–2018,Age groups,18–64 years,0.115693
Stanislaus,2017–2018,Age groups,18–64 years,0.11264900000000001
Sutter,2017–2018,Age groups,18–64 years,0.189055
Tehama,2017–2018,Age groups,18–64 years,0.157894
Trinity,2017–2018,Age groups,18–64 years,0.158796
Tulare,2017–2018,Age groups,18–64 years,0.067052
Tuolumne,2017–2018,Age groups,18–64 years,0.18960100000000002
Ventura,2017–2018,Age groups,18–64 years,0.045004
Yolo,2017–2018,Age groups,18–64 years,0.138521
Yuba,2017–2018,Age groups,18–64 years,0.163541
California,2017–2018,Age groups,65+ years,0.094499
Alameda,2017–2018,Age groups,65+ years,0.100231
Alpine,2017–2018,Age groups,65+ years,0.140353
Amador,2017–2018,Age groups,65+ years,0.140353
Butte,2017–2018,Age groups,65+ years,
Calaveras,2017–2018,Age groups,65+ years,0.140353
Colusa,2017–2018,Age groups,65+ years,
Contra Costa,2017–2018,Age groups,65+ years,0.10504
Del Norte,2017–2018,Age groups,65+ years,
El Dorado,2017–2018,Age groups,65+ years,
Fresno,2017–2018,Age groups,65+ years,0.127365
Glenn,2017–2018,Age groups,65+ years,
Humboldt,2017–2018,Age groups,65+ years,
Imperial,2017–2018,Age groups,65+ years,0.209299
Inyo,2017–2018,Age groups,65+ years,0.140353
Kern,2017–2018,Age groups,65+ years,
Kings,2017–2018,Age groups,65+ years,0.067626
Lake,2017–2018,Age groups,65+ years,0.14562799999999998
Lassen,2017–2018,Age groups,65+ years,
Los Angeles,2017–2018,Age groups,65+ years,0.087538
Madera,2017–2018,Age groups,65+ years,
Marin,2017–2018,Age groups,65+ years,
Mariposa,2017–2018,Age groups,65+ years,0.140353
Mendocino,2017–2018,Age groups,65+ years,0.086778
Merced,2017–2018,Age groups,65+ years,0.22426
Modoc,2017–2018,Age groups,65+ years,
Mono,2017–2018,Age groups,65+ years,0.140353
Monterey,2017–2018,Age groups,65+ years,0.067304
Napa,2017–2018,Age groups,65+ years,0.149816
Nevada,2017–2018,Age groups,65+ years,0.062289000000000004
Orange,2017–2018,Age groups,65+ years,0.060336999999999995
Placer,2017–2018,Age groups,65+ years,0.072772
Plumas,2017–2018,Age groups,65+ years,
Riverside,2017–2018,Age groups,65+ years,0.093458
Sacramento,2017–2018,Age groups,65+ years,0.131632
San Benito,2017–2018,Age groups,65+ years,
San Bernardino,2017–2018,Age groups,65+ years,0.099962
San Diego,2017–2018,Age groups,65+ years,0.070888
San Francisco,2017–2018,Age groups,65+ years,
San Joaquin,2017–2018,Age groups,65+ years,
San Luis Obispo,2017–2018,Age groups,65+ years,0.08195499999999999
San Mateo,2017–2018,Age groups,65+ years,
Santa Barbara,2017–2018,Age groups,65+ years,
Santa Clara,2017–2018,Age groups,65+ years,0.08973800000000001
Santa Cruz,2017–2018,Age groups,65+ years,0.109366
Shasta,2017–2018,Age groups,65+ years,0.06329900000000001
Sierra,2017–2018,Age groups,65+ years,
Siskiyou,2017–2018,Age groups,65+ years,
Solano,2017–2018,Age groups,65+ years,0.111775
Sonoma,2017–2018,Age groups,65+ years,0.140239
Stanislaus,2017–2018,Age groups,65+ years,
Sutter,2017–2018,Age groups,65+ years,0.225136
Tehama,2017–2018,Age groups,65+ years,
Trinity,2017–2018,Age groups,65+ years,
Tulare,2017–2018,Age groups,65+ years,
Tuolumne,2017–2018,Age groups,65+ years,0.140353
Ventura,2017–2018,Age groups,65+ years,0.119366
Yolo,2017–2018,Age groups,65+ years,
Yuba,2017–2018,Age groups,65+ years,0.14345
